# aimc IN_DR7_LSS RA DEC Z ELPETRO_ABSMAG_r u_r sSFR HImass flag3727 t3 Z12logOH Zerr logNO NOerr vflag_VF ID BPTclass 2D_neighbor_ID 2D_neighbor_dist 2D_neighbor_ID_vir 2D_neighbor_dist_vir 3D_neighbor_ID 3D_neighbor_dist 3D_neighbor_ID_vir 3D_neighbor_dist_vir
0.0 1.0 147.17645340393182 -0.3540349522432606 0.006282840855419636 -15.534673690795898 1.5979467332363129 -9.897252082824707 nan nan nan nan nan nan nan 2 12 1.0 49 0.18150554228021565 585714 1.3634632510011546 573 0.3210655024172438 208 2.3657856725525463
106.68 1.0 146.85676432411947 -0.27409664376066756 0.02196459472179413 -16.7003231048584 1.6220477223396301 -9.639364242553711 nan nan nan nan nan nan nan 2 31 1.0 79 0.6704515586457357 92 2.414294367856323 80 0.9556330809587631 585700 3.7385754919749274
0.0 1.0 146.19277353258968 -0.6882589506846374 0.004080323036760092 -15.290872573852539 1.220979243516922 -9.548693656921387 nan nan nan nan nan nan nan 2 44 1.0 585695 0.035663331434249095 639857 0.46035331496314846 585695 0.221530846641702 585695 2.8927174640703734
199.39 1.0 146.00780426178756 -0.6422574964819474 0.004776299931108952 -15.831652641296387 0.7728094607591629 -7.982375621795654 nan 0.0 1.5717060395681055 7.73051787768279 0.0179600111522654 -0.5320566539047968 0.44255404846002694 2 45 1.0 585695 0.006393284307917346 585695 0.08348257342324528 639857 0.6010801341408164 639857 7.109919536505821
0.0 1.0 146.6190367018052 -0.43434631860351913 0.006036635022610426 -16.34455108642578 1.7559601366519928 -9.769034385681152 nan nan nan nan nan nan nan 2 49 1.0 585714 0.07059729101415332 585714 0.4172620229334301 585714 0.3596492056527832 585714 2.125689993784549
21.37 1.0 146.28299647851426 0.0641463074401177 0.021579895168542862 -16.594152450561523 2.861306369304657 -10.189197540283203 nan nan nan nan nan nan nan 2 91 1.0 80 0.038323438909891316 92 0.17226127693210824 92 0.10268810550034341 92 0.3052372880294029
0.0 1.0 145.3209420527222 0.771115298508063 0.00658948952332139 -14.810564994812012 1.925416886806488 -9.748167991638184 nan 0.0 3.57494352664153 7.007952737418975 0.2935407103312847 -0.9956427104372425 0.4090425521885854 2 186 1.0 208 0.16133006586884238 208 0.576340261650062 208 0.6516081633066332 208 2.3278241244801396
-99.0 1.0 145.4212238164792 0.5359777701124617 0.1459859162569046 -14.866592407226562 -3.4473413228988647 nan nan nan nan nan nan nan nan 9 209 nan 206 0.23624643923335842 206 0.5428900018158784 206 0.53709656480362 206 1.2342380947105809
0.0 1.0 146.26576246056774 1.2304320197663696 0.006355164106935263 -14.2352876663208 1.6930833458900452 -9.700735092163086 nan 0.0 4.040375795270858 7.048466376827344 0.3785143362106475 -1.2323400004904403 0.5170923842950506 2 238 1.0 55137 0.13915957213413985 55243 0.8924983833408165 55137 0.18685834815465546 208 1.4133282793228592
2.0 1.0 146.0454337391056 0.17976464937135217 0.011124187149107456 -16.65953826904297 1.9549891352653503 -9.48812198638916 nan 0.0 0.8719724346175348 8.582080122358757 0.2984090656160034 -1.430188311491932 0.32451776651737074 2 254 1.0 54956 1.4001952825790003 77446 11.368924619290762 54956 1.6348528134242828 626 12.31200649897427
100.5 1.0 146.53086174958216 0.781908767844665 0.02025769092142582 -16.431692123413086 2.4716179072856903 -9.588902473449707 9.31 0.0 4.419694003996986 6.953538822870812 0.33596775239087995 -1.2294645924089984 0.4681862138357456 2 289 1.0 296 0.3160018638066713 296 1.4188280832387938 323 0.5037906584927532 296 2.8296931864313977
51.48 1.0 147.83560177025691 0.8997165632924147 0.020493237301707268 -16.619539260864258 1.6862696409225464 -9.780756950378418 nan nan nan nan nan nan nan 2 567 1.0 585 0.2369676597204177 585 0.8694086806522504 585 0.2780576563053593 585 1.020163428203321
61.58 1.0 148.44052081323045 0.7867939603113092 0.02051127329468727 -16.596445083618164 1.6433095932006836 -9.7621431350708 9.07 nan nan nan nan nan nan 2 677 1.0 624 0.1343098163915123 624 1.2909916715339467 567 0.6622767538819025 585 2.521902267209164
44.54 1.0 149.91742936090432 0.04417371176067461 0.017087126150727272 -16.585390090942383 0.9115640819072723 -10.074175834655762 9.02 nan nan nan nan nan nan 1 809 2.0 908 1.1955986659458469 606139 7.892605832107904 908 1.9487901567985357 606139 8.973503383268008
-99.0 1.0 149.62595955277243 0.04520068102159965 0.006497472058981657 -14.359406471252441 1.1440006643533707 nan nan nan nan nan nan nan nan 2 821 nan 606541 0.5320001185649581 585740 4.288518319667667 60377 0.6319885096972201 585740 4.839123033567514
136.24 1.0 151.80959108402604 0.055765521446274856 0.02166339010000229 -16.63641929626465 1.199486032128334 -9.3024320602417 nan nan nan nan nan nan nan 2 1133 1.0 1353 0.6701466689863808 607110 2.088080729955921 1343 0.7457304293824428 1345 4.239763810777985
1.0 1.0 151.48056199522557 0.6522017939674254 0.0210582185536623 -16.3584041595459 2.6675206422805786 -11.872618675231934 nan nan nan nan nan nan nan 2 1391 -1.0 1345 0.031190504681219287 607110 0.09029814701698359 607110 0.4164189738744056 607110 1.1539671542496432
-99.0 1.0 151.53620939925946 0.6883608156215566 0.02119605243206024 -16.356752395629883 2.3887422680854797 nan nan nan nan nan nan nan nan 2 1392 nan 1391 0.07335787861005147 607110 0.2928227832860824 1353 0.16602814305763047 1345 0.6115709864672979
